Symbol,Name,Market Capital,CEO,Employees,Headquarters,Founded,Industry,Source,Source Link,ceo_indian_origin
UCL,uCloudlink Group Inc. American Depositary Shares,63222842.0,,404,"Unit 2214-Rm1, 22/F, Mira Place Tower A, 132 Nathan Ro Hong Kong",2014,,"CNBC,Google Finance","https://www.google.com/finance/quote/UCL:NASDAQ?hl=en,https://www.cnbc.com/quotes/UCL",
UCTT,Ultra Clean Holdings Inc. Common Stock,874537873.0,Jim Scholhamer,"6,773","Hayward, CaliforniaUnited States",1991,,Google Finance,https://www.google.com/finance/quote/UCTT:NASDAQ?hl=en,yes
UDMY,Udemy Inc. Common Stock,1088713211.0,,"1,246","San Francisco, CaliforniaUnited States","Jan 20, 2010",,Google Finance,https://www.google.com/finance/quote/UDMY:NASDAQ?hl=en,
UDR,UDR Inc. Common Stock,13725586568.0,Thomas W Toomey,"1,426","Suite 200, 1745 Shea Center Drive Highlands Ranch, CO 80129 United States",1972,,"CNBC,Google Finance","https://www.google.com/finance/quote/UDR:NYSE?hl=en,https://www.cnbc.com/quotes/UDR",yes
UE,Urban Edge Properties Common Shares of Beneficial Interest,2283610738.0,Jeffrey Olson CPA,109,"12 East 49Th Street, 44Th Floor New York, NY 10017 United States",2014,,"CNBC,Google Finance","https://www.cnbc.com/quotes/UE,https://www.google.com/finance/quote/UE:NYSE?hl=en",no
UEC,Uranium Energy Corp. Common Stock,2542378459.0,,,"500 North Shoreline, Ste. 800N Corpus Christi, TX 78401 United States",,,CNBC,https://www.cnbc.com/quotes/UEC,
UEIC,Universal Electronics Inc. Common Stock,87053680.0,,"3,838","Scottsdale, ArizonaUnited States",1986,,Google Finance,https://www.google.com/finance/quote/UEIC:NASDAQ?hl=en,
UFCS,United Fire Group Inc. Common Stock,724077308.0,Kevin LeidwingerRandy A. Ramlo,877,"Cedar Rapids, IowaUnited States",1946,,Google Finance,https://www.google.com/finance/quote/UFCS:NASDAQ?hl=en,yes
UFG,Uni-Fuels Holdings Limited Class A Ordinary Shares,66126600.0,Kuan Hua Koh,17,"15 Beach Road, Beach Centre #05-07 189677 Singapore",2021,,"CNBC,Google Finance","https://www.google.com/finance/quote/UFG:NASDAQ?hl=en,https://www.cnbc.com/quotes/UFG",yes
UFI,Unifi Inc. New Common Stock,92170528.0,Edmund M. Ingle,"2,700","Greensboro, North CarolinaUnited States",1969,,Google Finance,https://www.google.com/finance/quote/UFI:NYSE?hl=en,no
UFPI,UFP Industries Inc. Common Stock,5892125176.0,Matthew J Missad,"15,000","Grand Rapids, MichiganUnited States","Feb 9, 1955",,Google Finance,https://www.google.com/finance/quote/UFPI:NASDAQ?hl=en,no
UFPT,UFP Technologies Inc. Common Stock,1804938415.0,R. Jeffrey Bailly CPA,"4,146","Georgetown, MassachusettsUnited States",1963,,"CNBC,Google Finance","https://www.google.com/finance/quote/UFPT:NASDAQ?hl=en,https://www.cnbc.com/quotes/UFPT",yes
UG,United-Guardian Inc. Common Stock,38132848.0,,25,"230 Marcus Blvd Hauppauge, NY 11788-3731 United States",1942,,"CNBC,Google Finance","https://www.google.com/finance/quote/UG:NASDAQ?hl=en,https://www.cnbc.com/quotes/UG",
UGI,UGI Corporation Common Stock,7732754288.0,John L Walsh,"9,750","King of Prussia, PennsylvaniaUnited States",1882,,Google Finance,https://www.google.com/finance/quote/UGI:NYSE?hl=en,no
UGP,Ultrapar Participacoes S.A. (New) American Depositary Shares (Each representing one Common Share),3083906890.0,Marcos Marinho LutzMarcos Marinho Lutz,"9,999","Avenida Brigadeiro Luis Antonio 1.343, 8 andar, Bela Vista Sao Paulo 01.317-910 Brazil","Aug 30, 1937",,"CNBC,Google Finance","https://www.google.com/finance/quote/UGP:NYSE?hl=en,https://www.cnbc.com/quotes/UGP",yes
UGRO,urban-gro Inc. Common Stock,4313020.0,Bradley Nattrass,130,"Lafayette, ColoradoUnited States",2014,,"CNBC,Google Finance","https://www.cnbc.com/quotes/UGRO,https://www.google.com/finance/quote/UGRO:NASDAQ?hl=en",yes
UHAL,U-Haul Holding Company Common Stock,12548984320.0,Joe Shoen,"26,068","Reno, NevadaUnited States",1945,,Google Finance,https://www.google.com/finance/quote/UHAL:NYSE?hl=en,yes
UHG,United Homes Group Inc Class A Common Stock,176979212.0,,175,"Chapin, South CarolinaUnited States",2004,,Google Finance,https://www.google.com/finance/quote/UHG:NASDAQ?hl=en,
UHGWW,United Homes Group Inc. Warrant,37499668.0,,175,"Chapin, South CarolinaUnited States",2004,,Google Finance,https://www.google.com/finance/quote/UHGWW:NASDAQ?hl=en,
UHS,Universal Health Services Inc. Common Stock,12266228998.0,Marc D Miller,"87,500","367 S GULPH RD King Of Prussia, PA 19406-3121 United States",Apr 1979,,"CNBC,Google Finance","https://www.cnbc.com/quotes/UHS,https://www.google.com/finance/quote/UHS:NYSE?hl=en",no
UHT,Universal Health Realty Income Trust Common Stock,550043343.0,Alan Miller,,"Universal Corporate Ctr, 367 S Gulph Rd King Of Prussia, PA 19406 United States",1986,,"CNBC,Google Finance","https://www.cnbc.com/quotes/UHT,https://www.google.com/finance/quote/UHT:NYSE?hl=en",no
UI,Ubiquiti Inc. Common Stock,23911584236.0,Robert Pera,"1,515","New York, New YorkUnited States",Oct 2003,,Google Finance,https://www.google.com/finance/quote/UI:NYSE?hl=en,no
UIS,Unisys Corporation New Common Stock,338990053.0,Peter Altabef,"15,900","Blue Bell, PennsylvaniaUnited States",1986,,Google Finance,https://www.google.com/finance/quote/UIS:NYSE?hl=en,no
UK,Ucommune International Ltd Ordinary Shares,2225655.0,Guan Xin,127,"555 Madison Avenue, 5Th Flr Beijing, BEJ 100026 China",2015,,"CNBC,Google Finance","https://www.cnbc.com/quotes/UK,https://www.google.com/finance/quote/UK:NASDAQ?hl=en",no
UL,Unilever PLC Common Stock,156782473055.0,,"115,964","Unilever House, Blackfriars London EC4P 4BQ United Kingdom","Sep 2, 1929",,"CNBC,Google Finance","https://www.cnbc.com/quotes/UL,https://www.google.com/finance/quote/UL:NYSE?hl=en",
ULBI,Ultralife Corporation Common Stock,110941877.0,,671,"2000 Technology Pkwy Newark, NY 14513-2175 United States",1991,,"CNBC,Google Finance","https://www.cnbc.com/quotes/ULBI,https://www.google.com/finance/quote/ULBI:NASDAQ?hl=en",
ULCC,Frontier Group Holdings Inc. Common Stock,915613511.0,,"7,906","Denver, ColoradoUnited States",2013,,Google Finance,https://www.google.com/finance/quote/ULCC:NASDAQ?hl=en,
ULH,Universal Logistics Holdings Inc. Common Stock,633577706.0,,"10,821","12755 E 9 Mile Rd Warren, MI 48089-2621 United States",1981,,"CNBC,Google Finance","https://www.cnbc.com/quotes/ULH,https://www.google.com/finance/quote/ULH:NASDAQ?hl=en",
ULS,UL Solutions Inc. Class A Common Stock,14335674854.0,Jennifer F. Scanlon,"14,954","Northbrook, IllinoisUnited States",1894,,Google Finance,https://www.google.com/finance/quote/ULS:NYSE?hl=en,no
ULTA,Ulta Beauty Inc. Common Stock,21361611212.0,Kecia Steelman,"39,000","Bolingbrook, IllinoisUnited States",1990,,Google Finance,https://www.google.com/finance/quote/ULTA:NASDAQ?hl=en,yes
ULY,Urgent.ly Inc. Common Stock,6821668.0,,182,"Vienna, VirginiaUnited States","Jan 1, 2013",,Google Finance,https://www.google.com/finance/quote/ULY:NASDAQ?hl=en,
UMAC,Unusual Machines Inc. Common Stock,123157643.0,Allan Evans,,"4677 L B McLeod Rd, Suite J Orlando, FL 32811 United States",,,CNBC,https://www.cnbc.com/quotes/UMAC,no
UMBF,UMB Financial Corporation Common Stock,7828719742.0,Mariner Kemper,"3,698","Kansas City, MissouriUnited States",1913,Banking,"Market Watch,Google Finance","https://www.marketwatch.com/investing/stock/UMBF/company-profile?mod=mw_quote_tab,https://www.google.com/finance/quote/UMBF:NASDAQ?hl=en",yes
UMBFP,UMB Financial Corporation Depositary Shares each representing a 1/400th of 7.00% Fixed-Rate Reset Non-Cumulative Perpetual Preferred Stock,1914665554.0,Mariner Kemper,"3,698","Kansas City, MissouriUnited States",1913,Banking,"Market Watch,Google Finance","https://www.marketwatch.com/investing/stock/UMBFP/company-profile?mod=mw_quote_tab,https://www.google.com/finance/quote/UMBFP:NASDAQ?hl=en",yes
UMC,United Microelectronics Corporation (NEW) Common Stock,19117410368.0,,"19,426","Hsinchu, HsinchuTaiwan","May 22, 1980",Semiconductors,"Market Watch,Google Finance","https://www.marketwatch.com/investing/stock/UMC/company-profile?mod=mw_quote_tab,https://www.google.com/finance/quote/UMC:NYSE?hl=en",
UMH,UMH Properties Inc. Common Stock,1411624824.0,,513,"Juniper Business Plaza 3499 Route 9 N, Suite 3-C Freehold, NJ 07728 United States",1968,Residential REITs,"CNBC,Market Watch,Google Finance","https://www.google.com/finance/quote/UMH:NYSE?hl=en,https://www.cnbc.com/quotes/UMH,https://www.marketwatch.com/investing/stock/UMH/company-profile?mod=mw_quote_tab",
UMH^D,UMH Properties Inc. 6.375% Series D Cumulative Redeemable Preferred Stock Liquidation Preference $25 per share,,,513,"Juniper Business Plaza 3499 Route 9 N, Suite 3-C Freehold, NJ 07728 United States",1968,Residential REITs,"CNBC,Market Watch,Google Finance","https://www.google.com/finance/quote/UMH:NYSE?hl=en,https://www.cnbc.com/quotes/UMH,https://www.marketwatch.com/investing/stock/UMH/company-profile?mod=mw_quote_tab",
UNB,Union Bankshares Inc. Common Stock,133843314.0,,191,"Morrisville, VermontUnited States",1891,,Google Finance,https://www.google.com/finance/quote/UNB:NASDAQ?hl=en,
UNCY,Unicycive Therapeutics Inc. Common Stock,70664633.0,Shalabh Gupta M.D.,23,"4300 El Camino Real, Suite 210 Los Altos, CA 94022 United States",2016,,"CNBC,Google Finance","https://www.cnbc.com/quotes/UNCY,https://www.google.com/finance/quote/UNCY:NASDAQ?hl=en",yes
UNF,Unifirst Corporation Common Stock,3500604521.0,Steven S. Sintros,"16,000","68 Jonspin Rd Wilmington, MA 01887-1090 United States","Jul 12, 1936",,"CNBC,Google Finance","https://www.cnbc.com/quotes/UNF,https://www.google.com/finance/quote/UNF:NYSE?hl=en",yes
UNFI,United Natural Foods Inc. Common Stock,1850223204.0,Sandy Douglas,"28,333","Providence, Rhode IslandUnited States",1976,,Google Finance,https://www.google.com/finance/quote/UNFI:NYSE?hl=en,no
UNH,UnitedHealth Group Incorporated Common Stock (DE),273874770542.0,Stephen Hemsley,"400,000","1 HEALTH DRIVE Eden Prairie, MN 55344 United States",Jan 1977,,"CNBC,Google Finance","https://www.cnbc.com/quotes/UNH,https://www.google.com/finance/quote/UNH:NYSE?hl=en",no
UNIT,Uniti Group Inc. Common Stock,1055449706.0,,758,"Little Rock, ArkansasUnited States",2014,,Google Finance,https://www.google.com/finance/quote/UNIT:NASDAQ?hl=en,
UNM,Unum Group Common Stock,14247111094.0,Rick McKenney,"10,948","Chattanooga, TennesseeUnited States",1848,,Google Finance,https://www.google.com/finance/quote/UNM:NYSE?hl=en,yes
UNMA,Unum Group 6.250% Junior Subordinated Notes due 2058,4257917671.0,Rick McKenney,"10,948","Chattanooga, TennesseeUnited States",1848,,Google Finance,https://www.google.com/finance/quote/UNMA:NYSE?hl=en,yes
UNP,Union Pacific Corporation Common Stock,132436443713.0,Jim Vena,"30,146","Omaha, NebraskaUnited States","Jan 30, 1969",,Google Finance,https://www.google.com/finance/quote/UNP:NYSE?hl=en,no
UNTY,Unity Bancorp Inc. Common Stock,443425615.0,James A Hughes,224,"64 OLD HIGHWAY 22 Clinton, NJ 08809 United States",1991,,"CNBC,Google Finance","https://www.cnbc.com/quotes/UNTY,https://www.google.com/finance/quote/UNTY:NASDAQ?hl=en",no
UOKA,MDJM LTD Ordinary Share,2682339.0,Siping Xu,2,"Fernie Castle, Letham Cupar, TNJ 300051 United Kingdom",2002,,"CNBC,Google Finance","https://www.google.com/finance/quote/UOKA:NASDAQ?hl=en,https://www.cnbc.com/quotes/UOKA",no
UONE,Urban One Inc. Class A Common Stock,78548821.0,Alfred C. Liggins III,"1,179","Silver Spring, MarylandUnited States",1980,,Google Finance,https://www.google.com/finance/quote/UONE:NASDAQ?hl=en,yes
UONEK,Urban One Inc. Class D Common Stock,31967543.0,Alfred C. Liggins III,"1,179","Silver Spring, MarylandUnited States",1980,,Google Finance,https://www.google.com/finance/quote/UONEK:NASDAQ?hl=en,yes
UP,Wheels Up Experience Inc. Class A Common Stock,915525235.0,George Mattson,"1,837","2135 American Way Chamblee, GA 30341 United States",2013,,"CNBC,Google Finance","https://www.cnbc.com/quotes/UP,https://www.google.com/finance/quote/UP:NYSE?hl=en",no
UPB,Upstream Bio Inc. Common Stock,496515879.0,,52,"Waltham, MassachusettsUnited States",2021,,Google Finance,https://www.google.com/finance/quote/UPB:NASDAQ?hl=en,
UPBD,Upbound Group Inc. Common Stock,1326517750.0,Mitchell E Fadel,"11,970","Plano, TexasUnited States",1973,,Google Finance,https://www.google.com/finance/quote/UPBD:NASDAQ?hl=en,no
UPC,Universe Pharmaceuticals Inc. Ordinary Shares,2647689.0,Gang Lai,225,"265 Jingjiu Avenue Jinggangshan Econ. And Tech. Dev. Zone Ji'an, JGX 343100 China",1998,,"CNBC,Google Finance","https://www.google.com/finance/quote/UPC:NASDAQ?hl=en,https://www.cnbc.com/quotes/UPC",no
UPLD,Upland Software Inc. Common Stock,61526043.0,John Mcdonald,998,"Austin, TexasUnited States",2010,,"CNBC,Google Finance","https://www.cnbc.com/quotes/UPLD,https://www.google.com/finance/quote/UPLD:NASDAQ?hl=en",no
UPS,United Parcel Service Inc. Common Stock,82596657997.0,Carol B. Tomé,"372,180","Atlanta, GeorgiaUnited States","Aug 28, 1907",,Google Finance,https://www.google.com/finance/quote/UPS:NYSE?hl=en,no
UPST,Upstart Holdings Inc. Common stock,4487982952.0,Dave Girouard,"1,193","San Mateo, CaliforniaUnited States",Apr 2012,,Google Finance,https://www.google.com/finance/quote/UPST:NASDAQ?hl=en,yes
UPWK,Upwork Inc. Common Stock,2038327690.0,Hayden Brown,600,"Santa Clara, CaliforniaUnited States","Dec 18, 2013",,Google Finance,https://www.google.com/finance/quote/UPWK:NASDAQ?hl=en,no
UPXI,Upexi Inc. Common Stock,396375889.0,Allan Marshall,64,"Tampa, FloridaUnited States",2018,,"CNBC,Google Finance","https://www.google.com/finance/quote/UPXI:NASDAQ?hl=en,https://www.cnbc.com/quotes/UPXI",yes
URBN,Urban Outfitters Inc. Common Stock,6476989920.0,Richard Hayne,"20,155","Philadelphia, PennsylvaniaUnited States",1976,,Google Finance,https://www.google.com/finance/quote/URBN:NASDAQ?hl=en,yes
URG,Ur Energy Inc Common Shares (Canada),297984372.0,John Cash,,"10758 W Centennial Rd Ste 200 Littleton, CO 80127-4290 United States",,,CNBC,https://www.cnbc.com/quotes/URG,no
URGN,UroGen Pharma Ltd. Ordinary Shares,195495592.0,,234,"New York, New YorkUnited States",2004,,Google Finance,https://www.google.com/finance/quote/URGN:NASDAQ?hl=en,
URI,United Rentals Inc. Common Stock,46044016413.0,Matthew John Flannery,"27,900","Stamford, ConnecticutUnited States","Aug 14, 1997",,Google Finance,https://www.google.com/finance/quote/URI:NYSE?hl=en,yes
UROY,Uranium Royalty Corp. Common Stock,295335823.0,,14,"Vancouver, British ColumbiaCanada",2017,,Google Finance,https://www.google.com/finance/quote/UROY:NASDAQ?hl=en,
USA,Liberty All-Star Equity Fund Common Stock,0.0,,,"Boston, MassachusettsUnited States",1986,,Google Finance,https://www.google.com/finance/quote/USA:NYSE?hl=en,
USAC,USA Compression Partners LP Common Units Representing Limited Partner Interests,2963075573.0,,854,"Dallas, TexasUnited States",1998,,Google Finance,https://www.google.com/finance/quote/USAC:NYSE?hl=en,
USAR,USA Rare Earth Inc. Class A Common Stock,812989056.0,Michael Blitzer,30,"Stillwater, OklahomaUnited States",2019,,"CNBC,Google Finance","https://www.google.com/finance/quote/USAR:NASDAQ?hl=en,https://www.cnbc.com/quotes/USAR",no
USARW,USA Rare Earth Inc. Warrant,172589855.0,Michael Blitzer,,"100 W Airport Road Stillwater, OK 74075 United States",2015,,"CNBC,Google Finance","https://www.cnbc.com/quotes/USARW,https://www.google.com/finance/quote/USARW:NASDAQ?hl=en",no
USAS,Americas Gold and Silver Corporation Common Shares no par value,155130317.0,,,"145 King St W Suite 2870 Toronto, ON M5H 1J8 Canada",,,CNBC,https://www.cnbc.com/quotes/USAS,
USAU,U.S. Gold Corp. Common Stock,144464362.0,,4,"Elko, NevadaUnited States",1967,,Google Finance,https://www.google.com/finance/quote/USAU:NASDAQ?hl=en,
USB,U.S. Bancorp Common Stock,67914422343.0,Andrew CecereGunjan Kedia,"70,263","Minneapolis, MinnesotaUnited States",1929,,Google Finance,https://www.google.com/finance/quote/USB:NYSE?hl=en,yes
USB^A,U.S. Bancorp Depositary Shares Each representing a 1/100th interest in a share of Series A Non-CumulativePerpetual Pfd Stock,,Andrew CecereGunjan Kedia,"70,263","Minneapolis, MinnesotaUnited States",1929,,Google Finance,https://www.google.com/finance/quote/USB:NYSE?hl=en,yes
USB^H,U.S. Bancorp Depositary Shares repstg 1/1000th Pfd Ser B,,Gunjan KediaAndrew Cecere,"70,263","Minneapolis, MinnesotaUnited States",1929,,Google Finance,https://www.google.com/finance/quote/USB:NYSE?hl=en,no
USB^P,U.S. Bancorp Depositary Shares each representing a 1/1000th interest in a share of Series K Non-Cumulative Perpetual Preferred Stock,,Gunjan KediaAndrew Cecere,"70,263","Minneapolis, MinnesotaUnited States",1929,,Google Finance,https://www.google.com/finance/quote/USB:NYSE?hl=en,no
USB^Q,U.S. Bancorp Depositary Shares Each Representing a 1/1000th Interest in a Share of Series L Non-Cumulative Perpetual Preferred Stock,,Andrew CecereGunjan Kedia,"70,263","Minneapolis, MinnesotaUnited States",1929,,Google Finance,https://www.google.com/finance/quote/USB:NYSE?hl=en,yes
USB^R,U.S. Bancorp Depositary Shares Each Representing a 1/1000th Interest in a Share of Series M Non-Cumulative Perpetual Preferred Stock,,Gunjan KediaAndrew Cecere,"70,263","Minneapolis, MinnesotaUnited States",1929,,Google Finance,https://www.google.com/finance/quote/USB:NYSE?hl=en,no
USB^S,U.S. Bancorp Depositary Shares each representing a 1/1000th interest in a share of Series O Non-Cumulative Perpetual Preferred Stock,,Gunjan KediaAndrew Cecere,"70,263","Minneapolis, MinnesotaUnited States",1929,,Google Finance,https://www.google.com/finance/quote/USB:NYSE?hl=en,no
USCB,USCB Financial Holdings Inc. Class A Common Stock,331399804.0,Luis De La Aguilera,199,"Doral, FloridaUnited States",2002,,"CNBC,Google Finance","https://www.google.com/finance/quote/USCB:NASDAQ?hl=en,https://www.cnbc.com/quotes/USCB",yes
USEA,United Maritime Corporation Common Stock,10790006.0,Stamatis Tsantanis,6,"154 Vouliagmenis Avenue, Glyfada Athina 166 74 Greece",2022,,"CNBC,Google Finance","https://www.google.com/finance/quote/USEA:NASDAQ?hl=en,https://www.cnbc.com/quotes/USEA",no
USEG,U.S. Energy Corp. Common Stock (DE),41471133.0,,20,"1616 S. Voss, Suite 725 Houston, TX 77057 United States",1966,,"CNBC,Google Finance","https://www.google.com/finance/quote/USEG:NASDAQ?hl=en,https://www.cnbc.com/quotes/USEG",
USFD,US Foods Holding Corp. Common Stock,18304413266.0,David Flitman,"30,000","9399 W. Higgins Rd., Suite 100 Rosemont, IL 60018 United States",2007,,"CNBC,Google Finance","https://www.google.com/finance/quote/USFD:NYSE?hl=en,https://www.cnbc.com/quotes/USFD",no
USGO,U.S. GoldMining Inc. Common stock,113330480.0,,8,"Vancouver, British ColumbiaCanada",2015,,Google Finance,https://www.google.com/finance/quote/USGO:NASDAQ?hl=en,
USGOW,U.S. GoldMining Inc. Warrant,11695806.0,,8,"Vancouver, British ColumbiaCanada",2015,,Google Finance,https://www.google.com/finance/quote/USGOW:NASDAQ?hl=en,
USIO,Usio Inc. Common Stock,37514327.0,Louis Hoch,109,"San Antonio, TexasUnited States",1998,Consumer Finance,"CNBC,Market Watch,Google Finance","https://www.cnbc.com/quotes/USIO,https://www.google.com/finance/quote/USIO:NASDAQ?hl=en,https://www.marketwatch.com/investing/stock/USIO/company-profile?mod=mw_quote_tab",no
USLM,United States Lime & Minerals Inc. Common Stock,2942879081.0,Timothy W. Byrne,345,"Dallas, TexasUnited States",1950,Building Materials/Products,"Market Watch,Google Finance","https://www.marketwatch.com/investing/stock/USLM/company-profile?mod=mw_quote_tab,https://www.google.com/finance/quote/USLM:NASDAQ?hl=en",no
USM,United States Cellular Corporation Common Stock,5267450000.0,Laurent C. Therivel,"4,100","Chicago, IllinoisUnited States",1983,Wireless Telecommunications Services,"Market Watch,Google Finance","https://www.google.com/finance/quote/USM:NYSE?hl=en,https://www.marketwatch.com/investing/stock/USM/company-profile?mod=mw_quote_tab",yes
USNA,USANA Health Sciences Inc. Common Stock,556271250.0,Jim Brown,"1,700","Salt Lake City, UtahUnited States",1992,Pharmaceuticals,"Market Watch,Google Finance","https://www.marketwatch.com/investing/stock/USNA/company-profile?mod=mw_quote_tab,https://www.google.com/finance/quote/USNA:NYSE?hl=en",no
USPH,U.S. Physical Therapy Inc. Common Stock,1139224758.0,Christopher Reading,"5,531","Houston, TexasUnited States",1990,,"CNBC,Google Finance","https://www.google.com/finance/quote/USPH:NYSE?hl=en,https://www.cnbc.com/quotes/USPH",no
UTF,Cohen & Steers Infrastructure Fund Inc Common Stock,0.0,,,"1166 Avenue Of The Americas, 30Th Floor New York, NY 10036 United States",2004,,"CNBC,Google Finance","https://www.google.com/finance/quote/UTF:NYSE?hl=en,https://www.cnbc.com/quotes/UTF",
UTG,Reaves Utility Income Fund Common Shares of Beneficial Interest,0.0,,,"1700 BROADWAY, SUITE 1850 Denver, CO 80290 United States",,,CNBC,https://www.cnbc.com/quotes/UTG,
UTHR,United Therapeutics Corporation Common Stock,14382246744.0,Martine Rothblatt,"1,305","Silver Spring, MarylandUnited States",1996,,"CNBC,Google Finance","https://www.google.com/finance/quote/UTHR:NASDAQ?hl=en,https://www.cnbc.com/quotes/UTHR",no
UTI,Universal Technical Institute Inc Common Stock,1933052819.0,,"3,700","Scottsdale, ArizonaUnited States",1965,,Google Finance,https://www.google.com/finance/quote/UTI:NYSE?hl=en,
UTL,UNITIL Corporation Common Stock,891039863.0,Thomas P Meissner Jr,565,"Hampton, New HampshireUnited States",1984,,Google Finance,https://www.google.com/finance/quote/UTL:NYSE?hl=en,no
UTMD,Utah Medical Products Inc. Common Stock,178911407.0,Kevin Cornwell,161,"Midvale, UtahUnited States",1978,,"CNBC,Google Finance","https://www.cnbc.com/quotes/UTMD,https://www.google.com/finance/quote/UTMD:NASDAQ?hl=en",no
UTSI,UTStarcom Holdings Corp. Ordinary Shares,24717366.0,Tim Ti,219,"No. 2 Jingyuan North St. Daxing District 52-2 Bldg. Bda Intl Enterprise Ave Hangzhou, ZHJ 100176 China",1991,,"CNBC,Google Finance","https://www.cnbc.com/quotes/UTSI,https://www.google.com/finance/quote/UTSI:NASDAQ?hl=en",yes
UTZ,Utz Brands Inc Class A Common Stock,1870864262.0,,"3,100","900 High Street Hanover, PA 17331 United States",1921,,"CNBC,Google Finance","https://www.cnbc.com/quotes/UTZ,https://www.google.com/finance/quote/UTZ:NYSE?hl=en",
UUU,Universal Security Instruments Inc. Common Stock,5562956.0,Harvey Grossblatt,,"11407 CRONHILL DRIVE, SUITES A-D Owings Mills, MD 21117-3586 United States",,,CNBC,https://www.cnbc.com/quotes/UUU,no
UUUU,Energy Fuels Inc Ordinary Shares (Canada),1028078524.0,,,"225 Union Blvd., Suite 600 Lakewood, CO 80228 United States",,,CNBC,https://www.cnbc.com/quotes/UUUU,
UVE,UNIVERSAL INSURANCE HOLDINGS INC Common Stock,763846588.0,,"1,068","Fort Lauderdale, FloridaUnited States",1990,,Google Finance,https://www.google.com/finance/quote/UVE:NYSE?hl=en,
UVSP,Univest Financial Corporation Common Stock,852542146.0,Jeffrey Schweitzer,921,"14 NORTH MAIN STREET, PO Box 197 Souderton, PA 18964 United States",1876,,"CNBC,Google Finance","https://www.cnbc.com/quotes/UVSP,https://www.google.com/finance/quote/UVSP:NASDAQ?hl=en",no
UVV,Universal Corporation Common Stock,1616154719.0,George C Freeman III,"10,800","Richmond, VirginiaUnited States",1886,,Google Finance,https://www.google.com/finance/quote/UVV:NYSE?hl=en,no
UWMC,UWM Holdings Corporation Class A Common Stock,6876564562.0,Mat Ishbia,"9,100","Pontiac, MichiganUnited States",1986,,Google Finance,https://www.google.com/finance/quote/UWMC:NYSE?hl=en,yes
UXIN,Uxin Limited ADS,845293872.0,Kun Dai,"1,045","2-5/F, Tower E, Lshm Center, No.8 Guangshun S Avenue, Chaoyang Distri Beijing, BEJ 100102 China",2011,,"CNBC,Google Finance","https://www.google.com/finance/quote/UXIN:NASDAQ?hl=en,https://www.cnbc.com/quotes/UXIN",yes
UYSC,UY Scuti Acquisition Corp. Ordinary Shares,0.0,Jialuan Ma,,"39 E Broadway, Suite 603 New York, NY 10002 United States",2024,,"CNBC,Google Finance","https://www.google.com/finance/quote/UYSC:NASDAQ?hl=en,https://www.cnbc.com/quotes/UYSC",no
UYSCR,UY Scuti Acquisition Corp. Rights,0.0,Jialuan Ma,,"39 E Broadway, Suite 603 New York, NY 10002 United States",,,CNBC,https://www.cnbc.com/quotes/UYSCR,no
UYSCU,UY Scuti Acquisition Corp. Units,0.0,Jialuan Ma,,"39 E Broadway, Suite 603 New York, NY 10002 United States",2024,,"CNBC,Google Finance","https://www.cnbc.com/quotes/UYSCU,https://www.google.com/finance/quote/UYSCU:NASDAQ?hl=en",no
UZD,United States Cellular Corporation 6.250% Senior Notes due 2069,2055300000.0,Laurent C. Therivel,"4,100","Chicago, IllinoisUnited States",1983,,Google Finance,https://www.google.com/finance/quote/UZD:NYSE?hl=en,yes
UZE,United States Cellular Corporation 5.500% Senior Notes due 2070,1880200000.0,Laurent C. Therivel,"4,100","Chicago, IllinoisUnited States",1983,,Google Finance,https://www.google.com/finance/quote/UZE:NYSE?hl=en,yes
UZF,United States Cellular Corporation 5.500% Senior Notes due 2070,1875950000.0,Laurent C. Therivel,"4,100","Chicago, IllinoisUnited States",1983,,Google Finance,https://www.google.com/finance/quote/UZF:NYSE?hl=en,yes
V,Visa Inc.,697694623291.0,Ryan McInerney,"31,600","San Francisco, CaliforniaUnited States","Sep 18, 1958",,Google Finance,https://www.google.com/finance/quote/V:NYSE?hl=en,no
VABK,Virginia National Bankshares Corporation Common Stock,201390416.0,,142,"Charlottesville, VirginiaUnited States",1998,,Google Finance,https://www.google.com/finance/quote/VABK:NASDAQ?hl=en,
VAC,Marriott Vacations Worldwide Corporation Common Stock,2274493409.0,John E. Geller Jr.,"22,300","Orlando, FloridaUnited States",2011,,Google Finance,https://www.google.com/finance/quote/VAC:NYSE?hl=en,no
VACH,Voyager Acquisition Corp Class A Ordinary Shares,0.0,,,"Houston, TexasUnited States",2023,,Google Finance,https://www.google.com/finance/quote/VACH:NASDAQ?hl=en,
VACHW,Voyager Acquisition Corp Warrants,0.0,,,"Houston, TexasUnited States",2023,,Google Finance,https://www.google.com/finance/quote/VACHW:NASDAQ?hl=en,
VAL,Valaris Limited Common Shares,2673617285.0,Anton Dibowitz,"4,130","London, Greater LondonUnited Kingdom",1975,,Google Finance,https://www.google.com/finance/quote/VAL:NYSE?hl=en,no
VALE,VALE S.A.  American Depositary Shares Each Representing one common share,38973950325.0,,"64,616","Rio de Janeiro, State of Rio de JaneiroBrazil","Jun 1, 1942",,Google Finance,https://www.google.com/finance/quote/VALE:NYSE?hl=en,
VALN,Valneva SE American Depositary Shares,520068877.0,Thomas Lingelbach,713,6 rue Alain Bombard Saint-herblain 44800 France,2013,,"CNBC,Google Finance","https://www.cnbc.com/quotes/VALN,https://www.google.com/finance/quote/VALN:NASDAQ?hl=en",no
